,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
262,Aniak,2011,32.3,153,167,347,45,5,,,193,228,193,15.350877192982457,,18.0,,,,348,216,154,0,0,278,286,564,27.127659574468083,29.609929078014186,61.52482269503546,7.9787234042553195,0.8865248226950355,,84.64912280701753,84.64912280701753,,9.32642487046632,,,,61.702127659574465,38.297872340425535,27.30496453900709,0.0,0.0,0.972027972027972
263,Anvik,2011,27.5,37,42,53,7,0,,,36,53,36,32.075471698113205,,5.0,,,,101,1,0,0,0,49,53,102,36.27450980392157,41.17647058823529,51.9607843137255,6.862745098039216,0.0,,67.9245283018868,67.9245283018868,,13.88888888888889,,,,99.01960784313727,0.9803921568627451,0.0,0.0,0.0,0.9245283018867925
264,Arctic Village,2011,35.0,5,18,54,12,0,,,46,68,46,32.35294117647059,,5.0,,,,77,7,3,0,0,54,30,84,5.952380952380952,21.428571428571427,64.28571428571429,14.285714285714285,0.0,,67.64705882352942,67.64705882352942,,10.869565217391305,,,,91.66666666666666,8.333333333333332,3.571428571428571,0.0,0.0,1.8
265,Atka,2011,39.5,0,7,51,2,0,,,24,47,24,48.93617021276596,,0.0,,,,45,15,13,0,0,44,16,60,0.0,11.666666666666666,85.0,3.3333333333333335,0.0,,51.06382978723404,51.06382978723404,,0.0,,,,75.0,25.0,21.666666666666668,0.0,0.0,2.75
266,Atmautluak,2011,22.8,106,135,184,7,0,,,63,66,63,4.545454545454546,,7.0,,,,318,8,0,0,0,156,170,326,32.515337423312886,41.41104294478527,56.44171779141104,2.147239263803681,0.0,,95.45454545454545,95.45454545454545,,11.11111111111111,,,,97.54601226993866,2.4539877300613497,0.0,0.0,0.0,0.9176470588235294
267,Atqasuk,2011,22.3,101,131,170,24,0,,,84,89,84,5.617977528089887,,4.0,,,,280,45,25,0,0,173,152,325,31.076923076923073,40.30769230769231,52.307692307692314,7.384615384615385,0.0,,94.3820224719101,94.3820224719101,,4.761904761904762,,,,86.15384615384616,13.846153846153847,7.6923076923076925,0.0,0.0,1.138157894736842
268,Attu Station,2011,27.5,0,0,18,0,0,,,0,0,0,,,0.0,,,,0,18,17,0,0,18,0,18,0.0,0.0,100.0,0.0,0.0,,,,,,,,,0.0,100.0,94.44444444444444,0.0,0.0,inf
269,Badger,2011,29.3,5007,6019,12309,879,59,,,6390,7008,6390,8.818493150684931,,238.0,,,,768,18498,16424,343,343,9861,9405,19266,25.98878853939583,31.24156545209177,63.88975397072563,4.562441606976019,0.3062389702065816,,91.18150684931507,91.18150684931507,,3.724569640062598,,,,3.986297103706011,96.01370289629398,85.24862451987958,1.7803384200145334,1.7803384200145334,1.0484848484848486
270,Utqiagvik,2011,24.1,1237,1647,2405,101,0,,,997,1358,997,26.583210603829162,,75.0,,,,1958,2195,1557,34,66,2355,1798,4153,29.785697086443534,39.658078497471706,57.909944618348185,2.4319768841801106,0.0,,73.41678939617083,73.41678939617083,,7.5225677031093285,,,,47.14664098242235,52.85335901757765,37.490970382855764,0.8186852877437997,1.589212617385023,1.3097886540600667
271,Bear Creek,2011,30.9,702,852,1310,156,0,,,665,727,665,8.528198074277855,,13.0,,,,305,2013,1732,20,91,1199,1119,2318,30.28472821397757,36.755823986195,56.514236410698885,6.729939603106126,0.0,,91.47180192572215,91.47180192572215,,1.954887218045113,,,,13.157894736842104,86.8421052631579,74.71958584987057,0.8628127696289906,3.925798101811907,1.0714924039320821
272,Beaver,2011,31.4,16,20,56,1,0,,,31,62,31,50.0,,9.0,,,,77,0,0,0,0,32,45,77,20.77922077922078,25.97402597402597,72.72727272727273,1.2987012987012987,0.0,,50.0,50.0,,29.03225806451613,,,,100.0,0.0,0.0,0.0,0.0,0.7111111111111111
273,Beluga,2011,55.5,0,0,43,0,0,,,43,90,43,52.22222222222223,,0.0,,,,0,43,43,0,0,0,43,43,0.0,0.0,100.0,0.0,0.0,,47.77777777777778,47.77777777777778,,0.0,,,,0.0,100.0,100.0,0.0,0.0,0.0
274,Bethel,2011,28.8,1560,1963,3911,143,19,,,1679,2260,1679,25.707964601769913,,80.0,,,,3696,2340,1516,67,174,3079,2957,6036,25.844930417495032,32.52153744201458,64.79456593770709,2.369118621603711,0.3147779986746189,,74.29203539823008,74.29203539823008,,4.7647409172126265,,,,61.23260437375746,38.767395626242546,25.115970841616964,1.110006626905235,2.8827037773359843,1.0412580317889752
275,Bettles,2011,53.9,0,0,25,0,0,,,9,38,9,76.31578947368422,,0.0,,,,0,25,25,0,0,17,8,25,0.0,0.0,100.0,0.0,0.0,,23.684210526315788,23.684210526315788,,0.0,,,,0.0,100.0,100.0,0.0,0.0,2.125
276,Big Delta,2011,43.5,90,117,352,67,0,,,183,266,183,31.203007518796994,,0.0,,,,12,524,509,0,15,307,229,536,16.791044776119403,21.828358208955223,65.67164179104478,12.5,0.0,,68.796992481203,68.796992481203,,0.0,,,,2.2388059701492535,97.76119402985076,94.96268656716418,0.0,2.798507462686567,1.3406113537117903
277,Big Lake,2011,40.9,809,941,2099,414,25,,,1334,2738,1334,51.27830533235939,,61.0,,,,159,3320,2902,64,16,1791,1688,3479,23.253808565679794,27.048002299511353,60.33342914630641,11.899971256108078,0.7185972980741593,,48.72169466764061,48.72169466764061,,4.572713643178411,,,,4.570278815751653,95.42972118424835,83.4147743604484,1.8396090830698475,0.4599022707674619,1.0610189573459716
278,Birch Creek,2011,50.5,0,0,16,0,0,,,10,18,10,44.44444444444444,,0.0,,,,16,0,0,0,0,10,6,16,0.0,0.0,100.0,0.0,0.0,,55.55555555555556,55.55555555555556,,0.0,,,,100.0,0.0,0.0,0.0,0.0,1.6666666666666667
279,Brevig Mission,2011,21.6,108,131,185,9,1,,,79,82,79,3.6585365853658534,,33.0,,,,290,36,8,0,0,169,157,326,33.12883435582822,40.1840490797546,56.74846625766872,2.7607361963190185,0.3067484662576687,,96.34146341463415,96.34146341463415,,41.77215189873418,,,,88.95705521472392,11.042944785276074,2.4539877300613497,0.0,0.0,1.0764331210191083
280,Buckland,2011,18.2,172,240,225,12,6,,,95,96,95,1.0416666666666665,,22.0,,,,480,3,0,0,0,248,235,483,35.61076604554865,49.68944099378882,46.58385093167702,2.484472049689441,1.2422360248447204,,98.95833333333334,98.95833333333334,,23.157894736842106,,,,99.37888198757764,0.6211180124223602,0.0,0.0,0.0,1.0553191489361702
281,Buffalo Soapstone,2011,38.9,182,217,521,25,0,,,299,395,299,24.30379746835443,,0.0,,,,14,749,658,16,0,359,404,763,23.853211009174313,28.440366972477065,68.28309305373526,3.2765399737876804,0.0,,75.69620253164557,75.69620253164557,,0.0,,,,1.834862385321101,98.1651376146789,86.23853211009175,2.0969855832241153,0.0,0.8886138613861386
