Quarter,Area,"Number of Loans","Average Loan","Total Loan","% Loan Volume","Average Sales Price","Total Sales Volume","% Market Value"
2017Q3,"Rest of State",139,254981,35442338,7.5,283303,39379093,7.4
2017Q3,"Statewide Total",1647,288684,475462784,100.0,324130,533841810,100.0
2017Q4,Anchorage,618,321216,198511641,46.7,366989,226799032,46.7
2017Q4,Matanuska-Susitna,290,251824,73028906,17.2,282856,82028227,16.9
2017Q4,"Fairbanks North Star",157,226984,35636473,8.4,248136,38957288,8.0
2017Q4,"Kenai Peninsula",211,246312,51971748,12.2,288143,60798136,12.5
2017Q4,Juneau,64,353599,22630348,5.3,397380,25432347,5.2
2017Q4,"Ketchikan Gateway",23,288531,6636206,1.6,322865,7425900,1.5
2017Q4,"Kodiak Island",20,284581,5691610,1.3,349590,6991800,1.4
2017Q4,Bethel,5,289896,1449480,.3,322000,1610000,.3
2017Q4,"Rest of State",109,267477,29154966,6.9,322821,35187497,7.3
