OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
156,California,2021,Other Groundfish,8,9,7,7,0,Yes,0,Yes,142195730,10440739,5,5,2024/01/02 09:00:00+00
157,California,2021,Other Shellfish,13,19,3,5,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
158,California,2021,Sablefish,4,4,2,2,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
159,California,2021,Salmon,182,185,135,138,15592263, ,9638456, ,,,,,2024/01/02 09:00:00+00
160,California,2020,All Fisheries Combined,214,252,143,156,28610433, ,182961325, ,,,,,2024/01/02 09:00:00+00
161,California,2020,Crab,5,9,4,6,2601319, ,548756, ,,,,,2024/01/02 09:00:00+00
162,California,2020,Halibut,6,6,5,5,0,Yes,0,Yes,190020,584405,4,4,2024/01/02 09:00:00+00
163,California,2020,Herring,12,13,1,1,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
164,California,2020,Other Groundfish,9,10,7,7,0,Yes,0,Yes,143220433,10258319,4,4,2024/01/02 09:00:00+00
165,California,2020,Other Shellfish,16,23,5,6,0,Yes,0,Yes,33846,118794,5,5,2024/01/02 09:00:00+00
166,California,2020,Sablefish,4,5,3,3,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
167,California,2020,Salmon,181,186,126,128,10161947, ,9943645, ,,,,,2024/01/02 09:00:00+00
168,California,2019,All Fisheries Combined,231,267,183,198,39954625, ,209113891, ,,,,,2024/01/02 09:00:00+00
169,California,2019,Crab,4,8,3,5,,Yes,,Yes,,,,,2024/01/02 09:00:00+00
170,California,2019,Halibut,10,10,10,10,1193157, ,327816, ,,,,,2024/01/02 09:00:00+00
171,California,2019,Herring,13,14,2,2,,Yes,,Yes,,,,,2024/01/02 09:00:00+00
172,California,2019,Other Groundfish,9,11,6,6,,Yes,,Yes,168401723,11449275,4,4,2024/01/02 09:00:00+00
173,California,2019,Other Shellfish,17,24,6,10,324235, ,116356, ,,,,,2024/01/02 09:00:00+00
174,California,2019,Sablefish,4,4,3,3,,Yes,,Yes,,,,,2024/01/02 09:00:00+00
175,California,2019,Salmon,192,196,160,162,20337167, ,15572505, ,,,,,2024/01/02 09:00:00+00
176,California,2018,All Fisheries Combined,251,293,183,203,42173501,,186198102,,,,,,2019/04/18 08:00:00+00
177,California,2018,Crab,4,6,3,4,,Yes,,Yes,,,,,2019/04/18 08:00:00+00
178,California,2018,Halibut,11,11,11,11,1218981,,329047,,,,,,2019/04/18 08:00:00+00
179,California,2018,Herring,13,14,1,1,,Yes,,Yes,,,,,2019/04/18 08:00:00+00
180,California,2018,Other Groundfish,10,11,8,8,23773892,,172443584,,,,,,2019/04/18 08:00:00+00
181,California,2018,Other Shellfish,21,30,8,12,473454,,117806,,,,,,2019/04/18 08:00:00+00
182,California,2018,Sablefish,7,7,6,6,,Yes,,Yes,244815,809336,5,5,2019/04/18 08:00:00+00
183,California,2018,Salmon,210,214,159,161,14877472,,12725730,,,,,,2019/04/18 08:00:00+00
184,California,2017,All Fisheries Combined,268,307,195,209,47004175,,205598756,,,,,,2019/04/18 08:00:00+00
185,California,2017,Crab,4,6,2,2,,Yes,,Yes,,,,,2019/04/18 08:00:00+00
186,California,2017,Halibut,14,14,13,13,1639584,,362616,,,,,,2019/04/18 08:00:00+00
187,California,2017,Herring,13,14,1,1,,Yes,,Yes,,,,,2019/04/18 08:00:00+00
188,California,2017,Other Groundfish,8,9,6,6,,Yes,,Yes,140116647,19288451,4,4,2019/04/18 08:00:00+00
