X,Y,OBJECTID,CommunityName,EntityName,GradCount,DataYear,AsOfDate,SchoolDistrict,Shape
-16372256.2945318,9523199.47412412,169,Eielson AFB,Ben Eielson Jr/Sr High School,41,2015,2016/03/09 09:00:00+00,Fairbanks North Star Borough Schools,
-16372256.2945318,9523199.47412412,170,Eielson AFB,Ben Eielson Jr/Sr High School,52,2014,2015/01/23 09:00:00+00,Fairbanks North Star Borough Schools,
-16372256.2945318,9523199.47412412,171,Eielson AFB,Ben Eielson Jr/Sr High School,55,2013,2014/01/22 09:00:00+00,Fairbanks North Star Borough Schools,
-16671136.5785995,8667185.84736903,172,Anchorage,Benson Secondary/S.E.A.R.C.H.,88,2013,2014/01/22 09:00:00+00,Anchorage Schools,
-16671136.5785995,8667185.84736903,173,Anchorage,Benson Secondary/S.E.A.R.C.H.,57,2014,2015/01/23 09:00:00+00,Anchorage Schools,
-16671136.5785995,8667185.84736903,174,Anchorage,Benson Secondary/S.E.A.R.C.H.,87,2017,2018/01/17 09:00:00+00,Anchorage Schools,
-16671136.5785995,8667185.84736903,175,Anchorage,Benson Secondary/S.E.A.R.C.H.,74,2015,2016/03/09 09:00:00+00,Anchorage Schools,
-16671136.5785995,8667185.84736903,176,Anchorage,Benson Secondary/S.E.A.R.C.H.,100,2016,2017/02/21 09:00:00+00,Anchorage Schools,
-16713394.6711324,8789376.83761656,177,Willow,Beryozova School,0,2017,2018/01/17 09:00:00+00,Mat-Su Borough Schools,
-16713394.6711324,8789376.83761656,178,Willow,Beryozova School,3,2016,2017/02/21 09:00:00+00,Mat-Su Borough Schools,
-16713394.6711324,8789376.83761656,179,Willow,Beryozova School,3,2013,2014/01/22 09:00:00+00,Mat-Su Borough Schools,
-16713394.6711324,8789376.83761656,180,Willow,Beryozova School,0,2015,2016/03/09 09:00:00+00,Mat-Su Borough Schools,
-16713394.6711324,8789376.83761656,181,Willow,Beryozova School,2,2014,2015/01/23 09:00:00+00,Mat-Su Borough Schools,
-18008216.1993446,8580524.84134851,182,Bethel,Bethel Regional High School,54,2014,2015/01/23 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,183,Bethel,Bethel Regional High School,51,2015,2016/03/09 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,184,Bethel,Bethel Regional High School,43,2013,2014/01/22 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,185,Bethel,Bethel Regional High School,49,2016,2017/02/21 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,186,Bethel,Bethel Regional High School,54,2017,2018/01/17 09:00:00+00,Lower Kuskokwim Schools,
