X,Y,CommunityName,HFRetailGal,EntityName,ReportingPeriod,ReportingYear,AsOfDate,OBJECTID,ReportingSeason,ReportingDate
-80396.1108252345,1443158.11815246,McGrath,6.5,Crowley Fuel,Jan,2018,,155,Winter,2018/01/15 09:00:00+00
218083.07061332,1695656.59737064,Minto,3.4,North Fork Store,Jan,2018,,156,Winter,2018/01/15 09:00:00+00
-504640.533465355,1383006.48491385,Mountain Village,6.91,Azachorak Fuel,Jan,2018,,157,Winter,2018/01/15 09:00:00+00
-447900.339245922,689960.464606835,Nelson Lagoon,4.51,Nelson Lagoon Enterprises,Jan,2018,,158,Winter,2018/01/15 09:00:00+00
234989.287041507,1630972.24399515,Nenana,3.61,Nenana Heating,Jan,2018,,159,Winter,2018/01/15 09:00:00+00
-187051.232425995,1055625.0881875,New Stuyahok,6,New Stuyahok Village Corporation,Jan,2018,,160,Winter,2018/01/15 09:00:00+00
-47715.5850566393,1109006.41072581,Nondalton,5.31,City of Nondalton,Jan,2018,,161,Winter,2018/01/15 09:00:00+00
-310203.95042872,1891560.16964191,Noorvik,5.64,Morris Trading Post,Jan,2018,,162,Winter,2018/01/15 09:00:00+00
115434.355028723,2251263.44261842,Nuiqsut,2.3,Kuukpik Corporation,Jan,2018,,163,Winter,2018/01/15 09:00:00+00
-195453.203694237,1646254.07648895,Nulato,4.25,City of Nulato,Jan,2018,,164,Winter,2018/01/15 09:00:00+00
-456125.054896778,1241722.08129476,Nunapitchuk,5.15,Nunapitchuk Ltd.,Jan,2018,,165,Winter,2018/01/15 09:00:00+00
43179.509619964,801115.998141873,Old Harbor,4.07,City of Old Harbor,Jan,2018,,166,Winter,2018/01/15 09:00:00+00
88385.3853077032,881147.13012034,Ouzinkie,2.762,Ouzinkie Native Corporation,Jan,2018,,167,Winter,2018/01/15 09:00:00+00
1036362.75188977,1023817.93801456,Pelican,3.51,Pelican Fuel,Jan,2018,,168,Winter,2018/01/15 09:00:00+00
1261271.08419403,957469.206997323,Petersburg,2.98,Petro Marine,Jan,2018,,169,Winter,2018/01/15 09:00:00+00
-463440.278725839,1359992.70645285,Pilot Station,6.28,Pilot Station Native Corporation,Jan,2018,,170,Winter,2018/01/15 09:00:00+00
1238268.67859453,896185.506006416,Point Baker,4.85,Point Baker Trading Post,Jan,2018,,171,Winter,2018/01/15 09:00:00+00
-526202.60112902,2093518.87211088,Point Hope,2,Tigara Corporation,Jan,2018,,172,Winter,2018/01/15 09:00:00+00
66076.0433834472,874380.056336525,Port Lions,3.7,Kizhuyak Oil Sales,Jan,2018,,173,Winter,2018/01/15 09:00:00+00
-441451.852918794,1110782.82189395,Quinhagak,5,Qanirtuuq Corporation,Jan,2018,,174,Winter,2018/01/15 09:00:00+00
-70886.7990080763,1642768.92037799,Ruby,5.25,Dineega Fuel Company,Jan,2018,,175,Winter,2018/01/15 09:00:00+00
-384325.307776448,1333013.66724658,Russian Mission,4.62,Russian Mission Corporation,Jan,2018,,176,Winter,2018/01/15 09:00:00+00
-944349.868773236,843619.420781122,Saint George,7.1495,Delta Fuel Company,Jan,2018,,177,Winter,2018/01/15 09:00:00+00
-398870.645006686,1525392.61226927,Saint Michael,,Saint Michael Fuel Company,Jan,2018,,178,Winter,2018/01/15 09:00:00+00
-411466.861134354,612219.93928279,Sand Point,4.1,TDX Svcs,Jan,2018,,179,Winter,2018/01/15 09:00:00+00
-805515.136213651,1625678.78277187,Savoonga,4.25,ANICA (Savoonga Native Store),Jan,2018,,180,Winter,2018/01/15 09:00:00+00
-604790.129936927,1371265.24459968,Scammon Bay,5.46,Askinuk Corporation,Jan,2018,,181,Winter,2018/01/15 09:00:00+00
128947.580591873,1051951.17416714,Seldovia,4.61,Seldovia Fuel and Lube,Jan,2018,,182,Winter,2018/01/15 09:00:00+00
-541048.640165177,1860130.42371255,Shishmaref,,Shishmaref Native Store,Jan,2018,,183,Winter,2018/01/15 09:00:00+00
-167084.821254186,1306713.95158893,Sleetmute,6,Henry Hill Store,Jan,2018,,184,Winter,2018/01/15 09:00:00+00
-410655.966695141,1531965.84908907,Stebbins,4.52,Tapraq Fuel Company,Jan,2018,,185,Winter,2018/01/15 09:00:00+00
