X,Y,OBJECTID,Place,Geo_Src,e_Pop_Total,m_Pop_Total,e_Pop_Male,m_Pop_Male,e_Pop_Female,m_Pop_Female,Start_Year,End_Year,PlaceID,IsMostRecent
-16036561.2555728,9263429.15495555,108,Dot Lake,P,12,17,0,78,12,17,2007,2011,{03A313E3-0987-4B72-8EC9-6C92E01A12A2},
-16035499.1835844,9262839.66483944,109,Dot Lake Village,P,69,47,25,21,44,30,2007,2011,{4B63BED6-48D5-4881-B4C0-D73B0D2651F2},
-16097000.0382138,9267756.62343433,110,Dry Creek,P,7,11,0,78,7,11,2007,2011,{64B2729B-A777-4917-9D20-77822FE68CFE},
-15701145.1188037,9541571.00919845,111,Eagle Village,P,41,26,24,14,17,16,2007,2011,{F6BC6030-25E0-4E0A-BA46-B294A0338BDA},
-15719157.8167796,9552995.61796396,112,Eagle,P,71,35,30,18,41,21,2007,2011,{99E4149C-E691-4714-88EC-9EDCEF72C195},
-14878758.0609857,7549487.03891262,113,Edna Bay,P,19,27,10,14,9,13,2007,2011,{85B7409D-F9A3-4D1C-8587-BA31448CD26E},
-18037041.1291412,8448636.97364217,114,Eek,P,204,52,88,25,116,38,2007,2011,{59543E82-DA08-4E48-BAA3-B0E7C0FF4767},
-17518988.4125428,8011365.49685887,115,Egegik,P,25,17,17,11,8,7,2007,2011,{F7D03E2F-5588-4343-BE94-44E824B7A836},
-16372988.328609,9522017.29511211,116,Eielson AFB,P,2814,446,1351,272,1463,252,2007,2011,{A74F371F-C334-4DC3-88A4-A4FCC1B1E8FD},
-17530376.0001536,8256476.2989067,117,Ekwok,P,161,64,78,32,83,38,2007,2011,{FAF5958B-8A56-4E28-B3B1-66B772A5A166},
-15177910.0843907,8008163.78366283,118,Elfin Cove,P,20,20,4,7,16,16,2007,2011,{4BAA8104-672E-401E-88E8-341E10A478B8},
-18063202.2799259,9508086.85094371,119,Elim,P,363,78,217,53,146,36,2007,2011,{962DB38D-BABD-43F0-AF8E-6B3C0964C131},
-18315378.7724165,9045765.64857705,120,Emmonak,P,823,107,465,61,358,58,2007,2011,{6E142FF4-3A51-4D60-9F7A-8B65E66A9133},
-16472701.2757039,9570394.18361401,121,Ester,P,2301,593,1168,340,1133,348,2007,2011,{C975E5F6-90CB-420B-9766-C43941847789},
-16382673.0104282,8844601.11827285,122,Eureka Roadhouse,P,0,78,0,78,0,78,2007,2011,{463333A9-778A-4087-B2B6-C834DF7F1809},
-16865546.7834434,10134617.5060728,123,Evansville,P,21,14,7,8,14,9,2007,2011,{FF9ACB36-15C3-4C3B-831F-7686F69D80ED},
-15077462.2436435,8055392.88265615,124,Excursion Inlet,P,0,78,0,78,0,78,2007,2011,{E209147C-83F5-4D19-AD3F-CB78B1F679F5},
-16444254.1310858,9566271.87088456,125,Fairbanks,P,31467,60,16459,450,15008,444,2007,2011,{7102AFBB-6F0A-4C7A-92FF-6F5A6D66AB18},
-18191245.5091054,7333781.24025852,126,False Pass,P,15,17,5,7,10,12,2007,2011,{223C147A-542C-4057-8AE2-C5C99FC10AB1},
-16602782.7855767,8774282.41258619,127,Farm Loop,P,968,260,483,129,485,150,2007,2011,{803C9DC0-CB68-4FB4-8746-A65C69A5905F},
-16448634.4496328,9579406.8471837,128,Farmers Loop,P,4016,682,2191,414,1825,336,2007,2011,{69F4E278-CF90-4297-B76E-3E6C8AF33FFF},
-16599487.2199191,9354104.28255344,129,Ferry,P,0,78,0,78,0,78,2007,2011,{6271DC39-C422-443B-AB71-71A2246047FD},
-16614286.7218702,8786763.92855068,130,Fishhook,P,4690,424,2292,261,2398,285,2007,2011,{90DA2B6B-1B09-4D7A-A466-E6B55B21AEE8},
-17589314.4415182,8967508.78411107,131,Flat,P,0,78,0,78,0,78,2007,2011,{3C695476-5C5E-4120-9E30-BF42C37A0EAF},
-16221914.8450569,9347686.74831746,132,Fort Greely,P,1089,230,639,159,450,124,2007,2011,{025A0F26-3C9F-4F08-ADB2-F18FEC8DF739},
-16168185.7498793,10033547.7525708,133,Fort Yukon,P,540,83,301,51,239,53,2007,2011,{641D75DC-10FB-4C68-9F27-A8720C97B6C0},
-16599728.6961623,9503867.71164907,134,Four Mile Road,P,38,24,28,19,10,7,2007,2011,{1A2DC081-51F5-4F8F-AE9B-516B4A83C31C},
-16432793.9877687,9597343.51160326,135,Fox,P,696,324,436,206,260,141,2007,2011,{DF0AA24E-FAFB-4033-9E30-014BC53D341A},
-16799889.6251575,8367196.72013879,136,Fox River,P,679,193,348,114,331,96,2007,2011,{B93DB68F-0ECD-4E8C-8511-88FA35BB40CF},
-16842489.7784406,8338861.63035312,137,Fritz Creek,P,1586,194,828,106,758,114,2007,2011,{4B339CC2-7B7F-4B2F-8003-C1DE90E459CD},
-16782773.8061664,8512348.26522147,138,Funny River,P,675,188,406,121,269,94,2007,2011,{CF70B6E1-31BB-4019-97D8-DD470A6AD914},
-16174930.5308121,8931084.928701,139,Gakona,P,233,108,113,61,120,54,2007,2011,{ED284F88-6827-4DC4-B028-5F0BFA6CF129},
-17463481.4673962,9540909.30970136,140,Galena,P,526,80,278,52,248,56,2007,2011,{9CB98028-F75A-4D46-A951-AB787D2CF82E},
-19115652.3162477,9293331.31835673,141,Gambell,P,747,120,401,72,346,68,2007,2011,{961462BD-8155-4FFF-863B-A652CC389066},
-15084889.2779131,7979062.95814535,142,Game Creek,P,34,47,18,26,16,22,2007,2011,{6506427D-91A9-4004-B55F-B5D8AC6ECBEC},
-16613317.4039532,8758849.9036378,143,Gateway,P,5437,426,2835,265,2602,235,2007,2011,{A1A00D41-E402-42E4-B4DE-FF2EE4036F66},
-16444783.7969041,8810336.16300173,144,Glacier View,P,242,112,144,66,98,52,2007,2011,{723F2211-DF24-4A26-B478-AC2F7B43D3AF},
-16200078.5853976,8885907.89955149,145,Glennallen,P,610,206,303,117,307,135,2007,2011,{0F6D14AC-19B0-4FFB-87AF-FBC82152C2A8},
-16461866.9911581,9589250.74599279,146,Goldstream,P,3781,798,2066,453,1715,441,2007,2011,{C63A334D-9CE5-410F-9042-CB548BBECC87},
-18149163.7092426,9488854.6563609,147,Golovin,P,104,45,53,26,51,26,2007,2011,{D18E8CFB-89C1-437A-ADAA-399023E0587C},
-17987254.5448644,8205983.87575918,148,Goodnews Bay,P,372,87,212,48,160,49,2007,2011,{86CBBCFB-1DC1-4C75-A1A2-84F6C19F0635},
-17818435.347773,9077346.19079628,149,Grayling,P,215,75,114,48,101,41,2007,2011,{DD04D244-B150-4D0C-83D9-26AAE567CC97},
-16182723.4384067,8923110.2138984,150,Gulkana,P,119,68,58,34,61,39,2007,2011,{5A851423-1D34-45BF-9EE7-8765E762667F},
-15110403.2200725,8054653.85527571,151,Gustavus,P,454,101,250,57,204,53,2007,2011,{3D5231FD-4F19-414E-A871-FAFF3941FF8F},
-15077988.5827901,8231204.39941615,152,Haines,P,2038,297,1118,188,920,165,2007,2011,{0E1213D7-970C-4532-B874-5742D6D4989B},
-16834155.0181038,8310709.31435036,153,Halibut Cove,P,8,17,2,6,6,12,2007,2011,{74696C73-F1AA-4DBA-8D8F-2D4FFAEFCC7E},
-16891397.2203785,8385282.91736017,154,Happy Valley,P,470,132,238,80,232,66,2007,2011,{452DEEAD-0063-4786-BCAF-5835043C441F},
-16319358.7215527,9444737.68062037,155,Harding-Birch Lakes,P,361,168,198,87,163,86,2007,2011,{55DEA83C-221E-4084-B00F-536B59BE5069},
-16587254.777931,9316925.80601147,156,Healy,P,874,212,420,105,454,164,2007,2011,{8905A89B-A676-4C0A-BEB5-C17AD570F833},
-16111658.2040413,9349746.071627,157,Healy Lake,P,0,78,0,78,0,78,2007,2011,{093A0B52-9C15-4F33-8872-681E456A939D},
-14844209.8903727,7855606.08949882,158,Hobart Bay,P,0,78,0,78,0,78,2007,2011,{6882E91E-F23E-4649-BC1E-168B1173F2E7},
-14766533.0256532,7456025.7270008,159,Hollis,P,118,61,61,31,57,36,2007,2011,{6B0D4814-B112-41E9-8F10-11A29507E7CA},
-17785718.6399316,8906350.75108969,160,Holy Cross,P,202,66,100,35,102,42,2007,2011,{6F84CE74-EDA0-4424-A080-4A7C0F08E5DF},
-16868465.81571,8321603.53233034,161,Homer,P,4987,34,2534,106,2453,108,2007,2011,{74B62695-129C-4E06-A228-C50EFCC9A872},
-15077747.2756412,7990363.35004359,162,Hoonah,P,726,129,355,87,371,74,2007,2011,{67C77481-D454-4AD4-8099-C6A3005285DE},
-18489770.3696312,8748753.13931634,163,Hooper Bay,P,1270,183,632,94,638,111,2007,2011,{8D01840C-135C-49A1-A1FE-5C63881EEF8A},
-16655870.3446364,8607003.67067398,164,Hope,P,114,79,56,40,58,66,2007,2011,{B94A5304-F56C-49FE-A615-8E72E73F6255},
-16675818.5394593,8772227.92788698,165,Houston,P,1910,222,932,117,978,143,2007,2011,{15846556-C6AB-448D-B51D-2DE0E8727969},
-17171946.3984402,9889412.09162593,166,Hughes,P,80,35,35,16,45,21,2007,2011,{9D089209-6790-456D-85A0-4D3282C8B989},
-17409778.5580137,9795714.29290359,167,Huslia,P,273,57,130,34,143,34,2007,2011,{049CEFC6-7BD3-4DA4-98C6-3D0DBE9942E3},
-14785845.8993254,7401935.14035916,168,Hydaburg,P,420,74,221,45,199,46,2007,2011,{BDF65BBA-7D3D-4EFD-8DC7-59E48EA68082},
-14474374.0343285,7541662.57032641,169,Hyder,P,116,66,52,40,64,37,2007,2011,{BC2CDE0E-83BC-4AC5-8095-1EB202D71049},
-17355102.7045931,8251041.6914682,170,Igiugig,P,37,29,13,11,24,21,2007,2011,{729C1584-C0E2-49D1-B9B4-275E3D55B9D1},
-17244068.1727719,8345325.87716697,171,Iliamna,P,55,32,27,18,28,17,2007,2011,{5ADEA6FC-9615-4F6E-9B68-F73ADD743B06},
-17753695.8436945,7539216.10761165,172,Ivanof Bay,P,0,78,0,78,0,78,2007,2011,{1D96F2EA-F1A3-4CC9-868D-090FD22E1CD6},
-14962078.6937559,8030570.02206249,173,Juneau,P,31244,,15875,114,15369,114,2007,2011,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF},
-16859641.2601891,8325962.6009038,174,Kachemak,P,687,129,271,59,416,96,2007,2011,{3D257994-65F8-4489-A35E-C42F284CB327},
-14910666.7973801,7754898.24217148,175,Kake,P,470,139,272,88,198,68,2007,2011,{2F5F6904-B47C-439D-9AC1-64135C4403A6},
-15986909.7903373,11110050.6733152,176,Kaktovik,P,393,114,223,69,170,65,2007,2011,{9B8441F9-AEFE-4E1D-BD2C-725FCCBB0299},
-16825114.5363892,8508889.41408404,177,Kalifornsky,P,7866,761,3882,317,3984,585,2007,2011,{644B47A1-3B29-48C4-8EF0-4585B2204F2E},
-17669178.6093313,9433180.26880334,178,Kaltag,P,187,44,120,31,67,23,2007,2011,{5790AC9E-408E-42C0-BDC7-490DB0451EAD},
-17191812.8544779,7875966.31581525,179,Karluk,P,44,36,23,22,21,16,2007,2011,{BF30433A-BCB7-443D-A9C4-767CA6C76820},
