X,Y,OBJECTID,CommunityName,EntityName,FacilityName,WastewaterTreatmentSystemID,WastewaterTreatmentSystemClass,WastewaterTreatmentSystemSize,NumberOfServiceConnectionsToWWT,NumberofResidentsServedByWWT,WastewaterTreatmentSystemURL,DataYear,AsOfDate
-310203.950396626,1891560.16952681,44,Noorvik,City of Noorvik,Noorvik Wastewater Treatment System,372,Stabilization Pond,"10,000 - 50,000",100,700,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Noorvik,2018,2018/09/01 09:00:00+00
315855.959669923,1659546.07061106,45,North Pole,City of North Pole,North Pole Wastewater Treatment System,376,1,"500,001 - 1,000,000",520,2000,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=North Pole,2018,2018/09/01 09:00:00+00
217277.130689913,2262085.46202091,46,Prudhoe Bay,North Slope Borough,North Slope Borough SA 10 Wastewater Treatment System,497,3,"100,001 - 500,000",,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Prudhoe Bay,2018,2018/09/01 09:00:00+00
115434.355206069,2251263.44295547,47,Nuiqsut,North Slope Borough,Nuiqsut Wastewater Treatment System,421,2,"10,000 - 50,000",133,416,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Nuiqsut,2018,2018/09/01 09:00:00+00
258015.620348963,1300696.69869265,48,Palmer,City of Palmer,Palmer Wastewater Treatment System,385,2,"1,000,001 - 5,000,000",2100,5800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Palmer,2018,2018/09/01 09:00:00+00
217277.130689913,2262085.46202091,49,Prudhoe Bay,British Petroleum Exploration Alaska,PBOC Wastewater Treatment System,437,4,"100,001 - 500,000",7,1500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Prudhoe Bay,2018,2018/09/01 09:00:00+00
1261271.0842288,957469.206891295,50,Petersburg,Petersburg Borough,Petersburg Wastewater Treatment System,390,3,"1,000,001 - 5,000,000",1256,3363,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Petersburg,2018,2018/09/01 09:00:00+00
-463440.278762784,1359992.70657066,51,Pilot Station,City of Pilot Station,Pilot Station Wastewater Treatment System,80,Stabilization Pond,"10,000 - 50,000",126,560,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Pilot Station,2018,2018/09/01 09:00:00+00
-526202.601047392,2093518.87209503,52,Point Hope,North Slope Borough,Point Hope Wastewater Treatment System,427,2,"10,000 - 50,000",233,764,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Point Hope,2018,2018/09/01 09:00:00+00
-441451.853083107,1110782.8214631,53,Quinhagak,City of Quinhagak,Quinhagak Wastewater Treatment System,98,Stabilization Pond,"10,000 - 50,000",108,669,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Quinhagak,2018,2018/09/01 09:00:00+00
-476820.244064235,1374720.11653368,54,Saint Mary's,City of Saint Mary's,Saint Mary's Wastewater Treatment System,402,Stabilization Pond,"50,001 - 100,000",170,521,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Saint Mary's,2018,2018/09/01 09:00:00+00
-411466.861164832,612219.939621521,55,Sand Point,City of Sand Point,Sand Point Wastewater Treatment System,255,Stabilization Pond,"100,001 - 500,000",293,1100,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Sand Point,2018,2018/09/01 09:00:00+00
-604790.129788219,1371265.24514124,56,Scammon Bay,City of Scammon Bay,Scammon Bay Wastewater Treatment System,467,Stabilization Pond,"10,000 - 50,000",70,533,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Scammon Bay,2018,2018/09/01 09:00:00+00
-267001.161493693,1861743.41392496,57,Selawik,City of Selawik,Selawik Wastewater Treatment System,407,Stabilization Pond,"10,000 - 50,000",200,800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Selawik,2018,2018/09/01 09:00:00+00
252540.636531753,1132499.53681719,58,Seward,City of Seward,Seward Wastewater Treatment System,224,1,"500,001 - 1,000,000",750,2830,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Seward,2018,2018/09/01 09:00:00+00
-541048.640289918,1860130.42328317,59,Shishmaref,City of Shishmaref,Shishmaref Wastewater Treatment System,41,Stabilization Pond,"10,000 - 50,000",2,700,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Shishmaref,2018,2018/09/01 09:00:00+00
